Question,Answer,Furigana,Meaning,Example,Translation
"鷲","わし","わし","eagle (Accipitridae family)","ワシが空を飛んでいる。","An eagle is flying in the sky."
"苛めっ子","いじめっこ","いじ..こ","bully","あのいじめっ子を、やっつけておいで。","Go and beat up that bully."
"発音","はつおん","はつ.おん","pronunciation, production of sound","あなたのお名前はどのように発音するのですか。","How do you pronounce your name?"
"発生","はっせい","はっ.せい","occurrence, incidence","一酸化炭素とは炭素化合物の不完全燃焼で発生する有害物質です。","Carbon monoxide is a poisonous substance formed by the incomplete combustion of carbon compounds."
"思考","しこう","し.こう","thought, consideration","彼女の思考法は合理的だった。","Her way of thinking was rational."
"停止","ていし","てい.し","stoppage, coming to a stop","列車は滑らかに停止した。","The train came to a smooth stop."
"糖分","とうぶん","とう.ぶん","amount of sugar, sugar content","私は、糖分のあるものは食べてはいけないのです。","I shouldn't eat food that has sugar in it."
"足りる","たりる","た","to be sufficient, to be enough","これだけの量の食料で一週間のキャンプに足りるでしょうか。","Will this much food do for a week's camping?"
"稼働","かどう","か.どう","operation (of a machine), running","工場はフル稼動している。","The factory is running at full capacity."
"特殊","とくしゅ","とく.しゅ","special, particular","",""
"一時","いちじ","いち.じ","one o'clock, once","誰かから電話があったら一時に戻るといって下さい。","If anyone should phone, say I will be back at one o'clock."
"磁極","じきょく","じ.きょく","NS magnetic pole","",""
"間隔","かんかく","かん.かく","space, interval","バスは１５分間隔で運転されている。","There is a bus every fifteen minutes."
"機構","きこう","き.こう","mechanism, machinery","どこか機構が悪いに違いない。","Something must be wrong with the machinery."
"時局","じきょく","じ.きょく","situation, state of things","",""
"足音","あしおと","あし.おと","sound of footsteps, sense or sign that something is approaching","ネコはその足音を聞いた。","The cat listened to its steps."
"跫","あしおと","あしおと","sound of footsteps, sense or sign that something is approaching","ネコはその足音を聞いた。","The cat listened to its steps."
"魅力","みりょく","み.りょく","charm, fascination","彼女の魅力はうまく表現できない。","Her charm is beyond description."
"平原","へいげん","へい.げん","plain, moor","初秋の頃のほど、その平原が美しく見えるときはない。","At no time does the plain look so perfect as in early autumn."
"躙り寄る","にじりよる","にじ..よ","to sidle up to","",""
"忍び寄る","しのびよる","しの..よ","to creep, to steal up","老齢は気づかぬうちに我々に忍び寄る。","Old age creeps upon us unnoticed."
"寝不足","ねぶそく","ね.ぶ.そく","lack of sleep, insufficient sleep","寝不足の影響がではじめた。","Lack of sleep began to tell on me."
"公開","こうかい","こう.かい","opening to the public, making available to the public","この公園はすべての人に公開されている。","The park is open to everybody."
"未満","みまん","み.まん","less than, under","５歳未満の小人は、入場料は要りません。","There is no admission fee for children under five."
"警察","けいさつ","けい.さつ","police, police officer","その場合には警察を呼びなさい。","In that case, call the police."
"主題","しゅだい","しゅ.だい","subject, theme","私はこの主題に精通している。","I am familiar with this subject."
"劣等","れっとう","れっ.とう","inferiority, low grade","",""
"喫煙","きつえん","きつ.えん","smoking (tobacco)","ここでの喫煙は許可されていません。","Smoking is not permitted here."
"念願","ねんがん","ねん.がん","one's heart's desire, one's dearest wish","私達は君の成功を念願している。","We hope that you will succeed."
"立ち話","たちばなし","た..ばなし","talking while standing, standing around talking","私たちは３０分立ち話をした。","We stood talking for half an hour."
"気が滅入る","きがめいる","き..め.い","to feel depressed, to be down","今日は少し気がめいっている。","I'm feeling a little blue today."
"抓る","つねる","つね","to pinch, to nip","彼女は私の腕をきつくつねった。","She pinched my arm sharply."
"水臭い","みずくさい","みず.くさ","stand-offish, distant","そう水くさくするな。","Don't be so reserved."
"一員","いちいん","いち.いん","one person, one member","君はいまやエリート集団の一員だ。","You are now among the elite."
"足跡","あしあと","あし.あと","footprints, record of page visitors (e.g. in social networking sites)","足跡が床に残っていた。","Footprints were left on the floor."
"中心","ちゅうしん","ちゅう.しん","center, centre","その町の中心にすてきな公園がある。","There is a nice park in the center of the town."
"物忘れ","ものわすれ","もの.わす","forgetfulness","最近、物忘れが激しくて。少しボケてきたのかな？","Could I be going soft in the head? I forget things so easily these days."
"駄菓子屋","だがしや","だ.が.し.や","small-time candy store, penny candy store","",""
"一通","いっつう","いっ.つう","one copy (of a document), one letter","一通に署名の上ご返送ください。","Please return one set to us with your signature."
"海面","かいめん","かい.めん","sea level, (surface of) sea","大きな岩が一つ海面から突き出ていた。","A big rock rose out of the sea."
"気に掛ける","きにかける","き..か","to weigh on one's mind, to trouble one's heart","他人のいうことを気にかけるな。","Don't worry about what others say."
"何なりと","なんなりと","なん","anything, whatever","",""
"後日","ごじつ","ご.じつ","in the future, another day","",""
